y,value,x
pDC_CD8Pos_over_cDC_CD8Pos,0.326739002,HK2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.920615172,ENO1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.468159957,ENO2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.609400297,ENO3_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.002257785,ENO1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.806538155,FBP2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.058275029,ENO1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.9095167,ALDH1A3_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.703422157,GALM_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.136083208,HK3_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.908927632,FBP1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.972473524,ALDH3A1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.860598246,PCK1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.838923657,ALDOB_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.772083387,G6PC_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.776192181,ALDH3B2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.663839712,PKLR_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.792729572,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.777948428,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.779652715,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.784684975,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.009298626,LDHC_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.85860706,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.774675168,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.992113732,ADH7_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.845793458,ALDH3B2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.749274706,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.790130888,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.886831562,GCK_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.808075508,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.820400374,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.815461048,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.822948424,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.820237049,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.803143538,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.702712884,PGAM1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.829806182,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.817606537,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.808286968,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.818488077,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.960038072,PDHA2_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.852675547,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.823301949,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.85216726,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,1.316697924,ACSS1_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.867616331,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
pDC_CD8Pos_over_cDC_CD8Pos,0.837505048,GAPDH_GLYCOLYSIS_GLUCONEOGENESIS
