x,y,value
PYGL_STARCH_AND_SUCROSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.519442016
PFKFB3_FRUCTOSE_AND_MANNOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.111691207
MDH2_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,0.591705879
PIK3CB_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.230686635
HK2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.326739002
ME3_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.781484429
NPL_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.934952017
ENO1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.920615172
ENO2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.468159957
MTHFD2_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.339847037
CYB5R3_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.836457192
ENO3_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.609400297
ENO1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.002257785
OGDHL_CITRATE_CYCLE_TCA_CYCLE,pDC_CD8Pos_over_cDC_CD8Pos,0.914435904
SYNJ1_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.484969252
PLCB1_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.773541714
FBP2_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.806538155
PIP4K2A_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.881087364
ENO1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,1.058275029
MTHFD1_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.867080109
ALDH1A3_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.9095167
ACACB_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.786826597
PIK3CG_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.787283794
INPP5J_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.774387286
PLCD1_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.800206445
MIOX_ASCORBATE_AND_ALDARATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.950336902
TKTL2_PENTOSE_PHOSPHATE_PATHWAY,pDC_CD8Pos_over_cDC_CD8Pos,1.010753761
L2HGDH_BUTANOATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.743536515
GALM_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.703422157
PLCE1_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.148716682
HK3_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.136083208
XYLB_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,pDC_CD8Pos_over_cDC_CD8Pos,0.874903227
ACSM4_BUTANOATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.828597686
FBP1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.908927632
LDHD_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.895902871
ALDH3A1_GLYCOLYSIS_GLUCONEOGENESIS,pDC_CD8Pos_over_cDC_CD8Pos,0.972473524
B4GALT2_GALACTOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.765921162
ACOT12_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.818308541
PIK3C2B_INOSITOL_PHOSPHATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.685478861
ACSM1_BUTANOATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.804376406
ME1_PYRUVATE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.762953428
LCT_GALACTOSE_METABOLISM,pDC_CD8Pos_over_cDC_CD8Pos,0.735015235
